date,ticker,returns,weights
2018-01-01,SPY,0.0,0.2717831
2018-01-02,SPY,0.007157,0.037784535
2018-01-03,SPY,0.006325,0.08371646
2018-01-04,SPY,0.004215,0.035583917
2018-01-05,SPY,0.006664,0.010487791
2018-01-08,SPY,0.001829,0.09693222
2018-01-09,SPY,0.002263,0.2174272
2018-01-10,SPY,-0.00153,0.035422727
2018-01-11,SPY,0.007296,0.025685536
2018-01-12,SPY,0.006519,0.045398023
2018-01-15,SPY,0.0,0.021841992
2018-01-16,SPY,-0.003418,0.03624012
2018-01-17,SPY,0.009532,0.22636378
2018-01-18,SPY,-0.001681,0.03259354
2018-01-19,SPY,0.00455,0.07914933
2018-01-22,SPY,0.008131,0.016561693
2018-01-23,SPY,0.002122,0.03338595
2018-01-24,SPY,-0.000388,0.11332001
2018-01-25,SPY,0.000424,0.24737532
2018-01-26,SPY,0.011578,0.0535786
2018-01-29,SPY,-0.00663,0.07231684
2018-01-30,SPY,-0.010257,0.029763032
2018-01-31,SPY,0.000497,0.014742871
2018-02-01,SPY,-0.001135,0.03724921
2018-02-02,SPY,-0.02177,0.025532423
2018-02-05,SPY,-0.041823,0.0066658715
2018-02-06,SPY,0.019702,0.20197625
2018-02-07,SPY,-0.005425,0.03125279
2018-02-08,SPY,-0.037509,0.02782235
2018-02-09,SPY,0.015022,0.06910338
2018-02-12,SPY,0.014684,0.0
2018-02-13,SPY,0.002487,0.0
2018-02-14,SPY,0.013496,1.6703417e-17
2018-02-15,SPY,0.01276,0.0968024
2018-02-16,SPY,0.000293,3.785477e-18
2018-02-19,SPY,0.0,0.0
2018-02-20,SPY,-0.006261,7.3343615e-18
2018-02-21,SPY,-0.004974,0.0
2018-02-22,SPY,0.001296,6.6245845e-19
2018-02-23,SPY,0.015939,1.9873755e-18
2018-02-26,SPY,0.011612,0.0
2018-02-27,SPY,-0.012487,6.071532e-18
2018-02-28,SPY,-0.01013,0.0
2018-03-01,SPY,-0.014541,0.0
2018-03-02,SPY,0.005155,1.17093835e-17
2018-03-05,SPY,0.011558,3.785477e-19
2018-03-06,SPY,0.002535,0.012966166
2018-03-07,SPY,-0.000366,0.0
2018-03-08,SPY,0.004839,2.7418895e-18
2018-03-09,SPY,0.017402,3.7854768e-19
2018-03-12,SPY,-0.001255,7.570954e-19
2018-03-13,SPY,-0.006463,3.785477e-18
2018-03-14,SPY,-0.005132,3.785477e-18
2018-03-15,SPY,-0.00109,0.0
2018-03-16,SPY,0.001079,0.0
2018-03-19,SPY,-0.01353,4.7318464e-19
2018-03-20,SPY,0.001701,1.4195539e-18
2018-03-21,SPY,-0.001919,2.6025155e-19
2018-03-22,SPY,-0.024997,0.0
2018-03-23,SPY,-0.021315,0.0
2018-03-26,SPY,0.027359,0.0
2018-03-27,SPY,-0.017012,0.0
2018-03-28,SPY,-0.002955,0.0
2018-03-29,SPY,0.012778,0.0
2018-03-30,SPY,0.0,0.0
2018-04-02,SPY,-0.021585,1.7152942e-18
2018-04-03,SPY,0.012817,1.8927385e-19
2018-04-04,SPY,0.010699,2.2239677e-18
2018-04-05,SPY,0.007892,0.00015408786
2018-04-06,SPY,-0.022286,0.00013252822
2018-04-09,SPY,0.004928,1.5141908e-18
2018-04-10,SPY,0.0159,0.0
2018-04-11,SPY,-0.005242,1.8927388e-19
2018-04-12,SPY,0.008227,7.570954e-18
2018-04-13,SPY,-0.002933,1.6088277e-18
2018-04-16,SPY,0.008222,3.469447e-18
2018-04-17,SPY,0.010698,8.079627e-18
2018-04-18,SPY,0.00074,3.974751e-18
2018-04-19,SPY,-0.005548,3.4069293e-18
2018-04-20,SPY,-0.008479,0.060601696
2018-04-23,SPY,-0.00015,3.0283816e-18
2018-04-24,SPY,-0.013467,6.3719327e-18
2018-04-25,SPY,0.002472,0.08125463
2018-04-26,SPY,0.010166,0.017409666
2018-04-27,SPY,0.000939,9.4636926e-20
2018-04-30,SPY,-0.007691,3.0283816e-18
2018-05-01,SPY,0.001777,0.002885559
2018-05-02,SPY,-0.006717,1.5141908e-18
2018-05-03,SPY,-0.002204,0.076823
2018-05-04,SPY,0.012946,7.570954e-19
2018-05-07,SPY,0.003383,0.0
2018-05-08,SPY,0.0,4.495254e-19
2018-05-09,SPY,0.009666,5.6782156e-18
2018-05-10,SPY,0.009351,0.0070472895
2018-05-11,SPY,0.003051,0.0
2018-05-14,SPY,0.000476,1.1356431e-18
2018-05-15,SPY,-0.006887,0.0
2018-05-16,SPY,0.004205,0.0
2018-05-17,SPY,-0.000845,7.570954e-19
2018-05-18,SPY,-0.0025,0.0
2018-05-21,SPY,0.007519,0.00013703911
2018-05-22,SPY,-0.00278,7.570954e-19
2018-05-23,SPY,0.002751,0.0
2018-05-24,SPY,-0.002049,8.517323e-19
2018-05-25,SPY,-0.002383,0.0
2018-05-28,SPY,0.0,0.01169415
2018-05-29,SPY,-0.011501,0.0
2018-05-30,SPY,0.013345,4.7318463e-20
2018-05-31,SPY,-0.006126,0.0
2018-06-01,SPY,0.009818,0.013237746
2018-06-04,SPY,0.004751,3.0283816e-18
2018-06-05,SPY,0.000728,2.1766493e-18
2018-06-06,SPY,0.008361,1.0302103e-17
