date,ticker,returns,weights
2020-01-01,SPY,0.0,-0.03365654
2020-01-02,SPY,0.009352,0.047399204
2020-01-03,SPY,-0.007572,0.14730023
2020-01-06,SPY,0.003815,-0.025555147
2020-01-07,SPY,-0.002812,0.038544137
2020-01-08,SPY,0.00533,0.045684747
2020-01-09,SPY,0.006781,-0.16149713
2020-01-10,SPY,-0.002878,0.076351486
2020-01-13,SPY,0.006877,-0.0089983735
2020-01-14,SPY,-0.001525,0.05719711
2020-01-15,SPY,0.00226,0.22563002
2020-01-16,SPY,0.008318,0.2881806
2020-01-17,SPY,0.003113,-0.04484804
2020-01-20,SPY,0.0,-0.07546134
2020-01-21,SPY,-0.001958,0.1004898
2020-01-22,SPY,0.000121,-0.088004395
2020-01-23,SPY,0.001147,-0.074265875
2020-01-24,SPY,-0.008893,0.20212893
2020-01-27,SPY,-0.016029,0.027187955
2020-01-28,SPY,0.010479,0.06964468
2020-01-29,SPY,-0.000826,-0.14334479
2020-01-30,SPY,0.003245,0.065241374
2020-01-31,SPY,-0.018158,0.1577279
2020-02-03,SPY,0.007429,-0.08931361
2020-02-04,SPY,0.015241,-0.042091493
2020-02-05,SPY,0.011548,-0.011788118
2020-02-06,SPY,0.003365,0.19356206
2020-02-07,SPY,-0.00533,0.10570034
2020-02-10,SPY,0.007465,0.119316205
2020-02-11,SPY,0.001733,0.104420744
2020-02-12,SPY,0.006443,0.05241616
2020-02-13,SPY,-0.001067,0.23729283
2020-02-14,SPY,0.001602,0.046595193
2020-02-17,SPY,0.0,0.10892053
2020-02-18,SPY,-0.002577,-0.116233155
2020-02-19,SPY,0.004781,0.15172952
2020-02-20,SPY,-0.004108,0.13613702
2020-02-21,SPY,-0.010298,0.14234306
2020-02-24,SPY,-0.033165,0.21543351
2020-02-25,SPY,-0.030302,0.021314766
2020-02-26,SPY,-0.003678,0.10690834
2020-02-27,SPY,-0.044912,0.14954235
2020-02-28,SPY,-0.004202,0.076826826
2020-03-02,SPY,0.043307,-0.13905866
2020-03-03,SPY,-0.028632,0.17462131
2020-03-04,SPY,0.042033,0.12568565
2020-03-05,SPY,-0.033242,0.14081414
2020-03-06,SPY,-0.016531,0.0821266
2020-03-09,SPY,-0.078094,0.10725372
2020-03-10,SPY,0.051745,0.14198858
2020-03-11,SPY,-0.048748,0.095575936
2020-03-12,SPY,-0.095677,0.21370286
2020-03-13,SPY,0.085486,0.036451362
2020-03-16,SPY,-0.109424,0.1398716
2020-03-17,SPY,0.053992,0.048041776
2020-03-18,SPY,-0.050633,-0.10560604
2020-03-19,SPY,0.002125,0.08491294
2020-03-20,SPY,-0.042844,0.017056666
2020-03-23,SPY,-0.025568,-0.16847941
2020-03-24,SPY,0.090603,-0.12065192
2020-03-25,SPY,0.01497,-0.14013492
2020-03-26,SPY,0.05839,0.01962228
2020-03-27,SPY,-0.029786,0.048481356
2020-03-30,SPY,0.032476,0.1485728
